CustomerId,Monetary,Recency,Frequency,factor_1,factor_2,factor_3,factor_4
8b4f8c66-7589-4734-8ada-2d42f60540ab,100.4,2019-06-04,6,0.35,0.08,0.6097397183224824,0.949382575856544
2151b2a2-8867-4986-9e00-449c2b4f89e9,170.0,2019-05-25,4,0.66,0.16,0.9422724819791308,0.47984558327999527
3111db79-6721-4ec0-82b1-30b810649c5e,70.75,2019-05-25,6,0.92,0.2,0.3230304032655188,0.007075750893937416
9cb76426-cc5d-4fa3-88bc-b92314b9f4e8,75.0,2019-03-20,10,0.35,0.78,0.8768328927778865,0.08897391390885445
5d86caeb-2d53-44a7-b379-7f15f06ca821,94.51,2019-04-10,5,0.51,0.44,0.9120988825007853,0.2061935950919629
f8b731d8-0915-4b23-a940-821aa9d8a672,63.0,2019-03-01,1,0.07,0.15,0.14963421646332564,0.39785119855818707
60d50ae8-736d-462a-a483-cd634bff9b4f,200.0,2019-06-08,2,1.0,0.77,0.5038830605088919,0.9751363409751793
7fcfb932-1360-46da-9c78-6e20473e0b58,6.99,2019-02-18,1,0.15,0.66,0.1941479189389922,0.9067587108981231
69fb4727-2d7b-456e-8eba-fc5e3839ea6a,120.02,2019-05-13,3,0.2,0.79,0.6921424424624484,0.8270934866093032
fbef750a-ef16-450d-84af-d6c8c3ea7b47,225.0,2019-03-15,3,0.01,0.43,0.17534192849035968,0.4163796815431322
7dabf6d7-7d33-4400-9a83-2b65515ff080,13.37,2019-01-02,1,0.8,0.08,0.6730600294056707,0.7911372032079417
e0cfae64-ed4b-4731-bed9-99e27600ec46,20.08,2019-01-27,1,0.13,0.35,0.32519086160588373,0.795485149324881
8973a6fd-3ef4-44ca-90af-f97d61084aaf,21.89,2019-03-22,1,0.39,0.22,0.6948397761890313,0.6782550314368052
cace04d5-125f-4f46-8692-f9ea7a7b8426,29.65,2019-06-07,1,0.67,0.73,0.793443968237911,0.509539915673916
3affeea7-1c66-4fca-984d-9e5e3fecd54a,47.25,2019-05-23,3,0.69,0.71,0.020402922759734432,0.7025331928496844
92213736-ca8e-42d2-8a9e-bc2701868e72,28.08,2019-03-16,2,0.36,0.28,0.6930733115319038,0.37209884978661745
50308fcc-c2e4-4c2d-80d9-3ae268c2f095,75.0,2019-05-08,4,0.81,0.95,0.482499558634077,0.8926764320116249
0820412d-28b1-4190-b216-483afe4e3d8f,390.0,2019-06-04,4,0.55,0.45,0.4273176398675026,0.6246178067475603
7d359dca-d456-4bd9-af65-8235a5830849,14.42,2019-06-14,1,0.56,0.02,0.6834534644127694,0.7268634051272685
9ee184e2-1e7a-403e-9b1a-6701272850ca,17.73,2019-03-24,2,0.66,0.5,0.7596872905507214,0.5174299837068412
619ad838-e5fb-4dbe-9698-be4abccdee80,110.0,2019-06-13,5,0.71,0.95,0.6687220314103507,0.325520175762805
b3d63bac-7c30-4093-b625-67c6b62c7ade,85.0,2019-05-25,6,0.08,0.5,0.5975167636244277,0.11348949331208669
948540c6-4786-4b5c-8e39-86cbcbf335aa,190.0,2019-06-03,3,0.13,0.7,0.7302403812122558,0.1584209440071893
26425819-4307-43c2-a333-b0d40446c719,640.0,2019-06-09,25,0.12,0.88,0.3274104728576416,0.1802289602155649
06966144-150b-492d-becb-7c08fe77266f,42.2,2019-02-04,2,0.85,0.64,0.1212849515293346,0.41895780526155046
4110a42a-39bc-486d-8971-74b0f8e1ff1f,480.0,2019-02-18,1,0.69,0.88,0.9966049018231183,0.7099263410770993
fd129b2a-ef7c-40a6-9cd1-9d38ae6e8300,465.0,2019-03-28,14,0.81,0.44,0.8816979648266158,0.6596421664467427
5702d164-913c-4c1b-bf64-b29dbaf9dbfb,49.88,2019-04-14,2,0.54,0.69,0.35646350143976857,0.44293551192013136
